idf,word
13.7202003782,赫柏湾
13.6331890012,奶酿
13.3455069287,登鼎
13.3455069287,杏乡
12.7858911408,酷莎
12.7858911408,开倜
12.6841084465,舒活
12.5917351263,大蓉
12.4805094912,邓老
12.4045235843,德仁堂
12.3804260327,维儿
12.333906017,雪阳
12.333906017,丽得姿
12.3114331612,酷漫居
12.3114331612,派邦奴
12.2468946401,云中鹤
12.2262753528,嘉兰
12.1291116044,舒客
12.1107624657,玛丽安
12.0405582071,柯佳
11.9749609246,舒朗
11.9749609246,嘉祺
11.9592125676,世好
11.8839891464,问果
11.8696004089,世尊
11.8554157739,维迈
11.8276362098,澳优
11.7742902291,雪肤
11.7613868243,黑塔
11.7360690163,尊酒
11.7360690163,嘉和城
11.7236464963,菩古
11.6992550432,金狐狸
11.6872788521,黑牌
11.6872788521,宝格丽
11.6521875323,优洁士
11.5854961578,小尾羊
11.5854961578,阿华田
11.5331281723,火王
11.4737047518,伦都
11.4737047518,顽皮
11.4546565568,大妈
11.4546565568,鳄鱼恤
11.4359644238,卢浮宫
11.4176152852,澳宝
11.3731635226,巴宝莉
11.3731635226,大风车
11.3645054599,维雅
11.3474110265,骏德
11.3474110265,益力
11.3389721578,多纳
11.3223051054,渔夫
11.3223051054,张小泉
11.3223051054,雪海
11.3140746062,莉娅
11.2978140854,怡莲
11.2897819137,查理
11.2897819137,酷印
11.281813744,日月潭
11.2739085645,杂货铺
11.266065387,渔家
11.266065387,俏皮
11.2505612005,无印良品
11.2352937284,澳林
11.220255851,多芬
11.220255851,大叔
11.2128208725,加菲猫
11.2054407652,用大屏
11.2054407652,迈高
11.1836217178,黄金搭档
11.1693357606,克莉丝
11.1552510207,现调机
11.1552510207,千秋万代
11.1344890292,舒美
11.1344890292,多尔
11.1344890292,多丽
11.1276630642,多力
11.1074603569,避风塘
11.0942151301,李医生
11.0876577296,三叶草
11.0811430485,网邻通
11.0811430485,赛高
11.0618498456,阿尔斯
11.0618498456,大喜
11.0555006179,大长
11.0182292231,大嘴
11.0182292231,德鲁克
10.9941316716,译名
10.9941316716,达芙妮
10.9764320945,孩之宝
10.9476116559,开爽
10.9251388001,大帝
10.9140889639,超市发
10.8977398259,外出服
10.8923489772,莉雅
10.8869870341,多吉
10.8869870341,丹妮
10.8869870341,南街村
10.8816536881,邦丽
10.8816536881,美肤宝
10.8606002789,度空间
10.8554054621,嘉俊
10.8450960924,滕王阁
10.8399809917,问道
10.8247908262,魔师
10.8197782844,舒洁
10.8098279536,妇孺皆知
10.7805575713,乐力
10.775761399,雪鹰
10.7709881202,舒爽
10.7662375175,七度
10.7662375175,舒华
10.7615093763,雪津
10.7381982974,群光
10.7244681046,黑石
10.7154182691,维尼
10.6975606517,嘉乐
10.6843736474,维拉
10.6542638459,大童
10.6500355098,大统
10.6500355098,枇杷膏
10.6087073143,维多
10.5966347331,汤姆
10.5690195661,有声有色
10.565136066,三九药业
10.5574140199,雪豹
10.538365825,大亨
10.5159768301,雪儿
10.4868838691,嘉佳
10.4833060478,开家
10.4833060478,雪碧
10.4551351708,劲酒
10.4551351708,新百伦
10.3655230121,开有
10.3560442682,香榭
10.306954658,稻香村
10.2980127206,大益
10.2745512339,多福
10.2431649201,维他
10.2375626646,大厨
10.1992017967,世嘉
10.1648523167,香波
10.1216435623,多乐
10.0427496199,维和
9.99560284144,中央政治局常委
9.93807899731,维维
9.88761420338,嘉实
9.87392875029,益生
9.85089510242,李锦记
9.82838008005,大利
9.80273764944,养生堂
9.75679317339,黑莓
9.74648380373,桔子
9.72116599574,大卫
9.66920625681,名烟
9.63193486201,多利
9.57850969534,嘉美
9.55565155726,几十款
9.51686553223,尼尔森
9.47560884959,益海
9.43724097217,草堂
9.3542107424,澳新
9.27541236872,丹尼
9.2043583003,云南白药
9.17304458723,之恋
8.90801602279,大福
8.67971212091,蚂蚁
8.58976388425,平和
8.29005761883,大王
8.0465647574,跳升
7.99276056424,雪花
